main.py[LINE:94]# INFO     [2019-09-15 01:01:22,706]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:01:22,995]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:01:23,677]  Парсим новость по адресу https://roscongress.org/news/na-vef-2019-proshel-vtoroj-rossijsko-korejskij-forum-mezhregionalnogo-sotrudnichestva/
main.py[LINE:50]# INFO     [2019-09-15 01:01:25,506]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:01:27,275]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:01:27,564]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:01:28,268]  Парсим новость по адресу https://roscongress.org/news/jurij-trutnev-provel-rjad-vstrech-s-ofitsialnymi-litsami-inostrannyh-gosudarstv/
main.py[LINE:50]# INFO     [2019-09-15 01:01:30,557]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:01:32,097]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:01:32,524]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:01:33,244]  Парсим новость по адресу https://roscongress.org/news/kapsulu-tsentra-ledovyh-vidov-sporta-zalozhili-vo-vladivostoke-na-vef-2019/
main.py[LINE:50]# INFO     [2019-09-15 01:01:35,553]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:01:37,352]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:01:37,559]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:01:38,757]  Парсим новость по адресу https://roscongress.org/news/aleksandr-shlemenko-proigral-krisu-hanikattu-na-turnire-roscongress-vladivostok-combat-night-/
main.py[LINE:50]# INFO     [2019-09-15 01:01:40,391]  Парсинг окончен
main.py[LINE:94]# INFO     [2019-09-15 01:01:42,185]  Новость уже есть в БД
main.py[LINE:65]# INFO     [2019-09-15 01:01:42,977]  Кнопка "показать еще" была нажата 1 раз
main.py[LINE:27]# INFO     [2019-09-15 01:01:43,115]  Парсим новость по адресу https://roscongress.org/news/uchastniki-soobschestva-friends-for-leadership-prinjali-uchastie-v-vef-2019/
