mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:43,821]  Новость c заголовском(На ВЭФ ПАО «ТрансКонтейнер» и корейская Pantos Logistics объединили усилия для увеличения транзита через территорию РФ) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:43,887]  Новость c заголовском(На полях ВЭФ-2019 подписаны крупные соглашения) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:43,953]  Новость c заголовском(Россия — АСЕАН) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:44,019]  Новость c заголовском(Перевалка угля: Экологические особенности в Дальневосточном регионе) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:44,085]  Новость c заголовском(FINОdays: на старт, внимание, марш!) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:44,148]  Новость c заголовском(Совершенствование национальной юрисдикции и защита прав инвесторов) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:44,217]  Новость c заголовском(Владимир Путин: дзюдо и спорт доказали, что стоять на месте нельзя, если хочешь добиваться побед) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:44,294]  Новость c заголовском(Повышение инвестиционной привлекательности регионов Дальнего Востока) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:44,368]  Новость c заголовском(На пути к здоровому обществу Дальнего Востока) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:44,443]  Новость c заголовском(Россия — Индия) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:28:44,518]  Новость c заголовском(Цифровое будущее транспортных коридоров через Дальний Восток: Международный опыт и российские реалии) уже есть в БД
mai_scroll_trying.py[LINE:209]# INFO     [2019-09-15 21:28:44,518]  Цикл 3 Закончен
